,Encrustment
Epizoanthus illoricatus,Polyp
Epizoanthus scotinus,Polyp
Epizoanthus paguricola,Polyp
Epizoanthus lindhali,Polyp
Epizoanthus ramosus,Polyp
Epizoanthus arenaceus,Polyp
Epizoanthus couchii,Polyp
Parazoanthid NC2,Endodermal
Parazoanthid CORSARO72,Endodermal
Antipathozoanthus macaronesicus,Outer Mesoglea
Mesozoanthus fossii,NA
Parazoanthus hertwigi,Endodermal
Parazoanthus elongatus,Endodermal
Parazoanthus swiftii,Endodermal
Parazoanthus axinellae,Endodermal
Corallizoanthus tsukaharai,Centre Mesoglea
Corallizoanthus tsukaharai,Centre Mesoglea
Parazoanthus sp. Madagascar,Endodermal
Parazoanthus sp. New Caledonia Deep,Endodermal
Parazoanthus sp. New Caledonia Shallow,Endodermal
Parazoanthus puertoricense,Endodermal
Hydrozoanthus tunicans,NA
Hydrozoanthus antumbrosus,NA
Savalia savaglia,NA
Savalia lucifica,NA
Kulamanamana haumeaae,None
Kulamanamana haumeaae,None
Kulamanamana haumeaae,None
Zibrowius ammophilus,Ectoderm
Zibrowius ammophilus,Ectoderm
Hurlizoanthus parrishi,NA
Kauluzoanthus kerbyi,NA
Kauluzoanthus kerbyi,NA
Kauluzoanthus kerbyi,NA
Bullagummizoanthus emilyacadiaarum,NA
Microzoanthus kagerou,NA
Microzoanthus occultus,NA
Isozoanthus giganteus,NA
Isozoanthus cf. giganteus,NA
Isozoanthus sulcatus,NA
Epizoanthus illoricatus,Yes
Epizoanthus illoricatus,Yes
Epizoanthus illoricatus,Yes
Epizoanthus paguricola,Yes
Epizoanthus arenaceus Marseille,Yes
Epizoanthus arenaceus Spain,Yes
Parazoanthid NC2,Endodermal
Parazoanthid NC2,Endodermal
Parazoanthid NC3,Endodermal
Parazoanthid CORSARO72,Endodermal
Antipathozoanthus macaronesicus,Outer Mesoglea
Antipathozoanthus macaronesicus,Outer Mesoglea
Antipathozoanthus sp. Madagascar,Outer Mesoglea
Antipathozoanthus sp. Madagascar,Outer Mesoglea
Antipathozoanthus macaronesicus,Outer Mesoglea
Antipathozoanthus macaronesicus,Outer Mesoglea
Mesozoanthus fossii,NA
Mesozoanthus fossii,NA
Mesozoanthus fossii,NA
Mesozoanthus fossii,NA
Mesozoanthus fossii,NA
Mesozoanthus fossii,NA
Corallizoanthus tsukaharai,Centre Mesoglea
Corallizoanthus tsukaharai,Centre Mesoglea
Corallizoanthus tsukaharai,Centre Mesoglea
Parazoanthus puertoricense,Endodermal
